	subject	target_sentence	db_cond	response	threshold
29	sub01	Die Gärtnerin tanzt zwischen den Blumenbeeten.	-1.0	 die Gärtnerin tanzt zwischen den Blumenbeeten.	wordlists_allcorrect
30	sub01	Ein Musiker verzaubert die Menschenmenge.	-2.0	 Ein Musiker verzaubert die Menschenmenge.	wordlists_allcorrect
31	sub01	Vor dem Schloss wartet eine einsame Gestalt.	2.0	 Vor dem Schloss wartet eine einsame Gestalt.	wordlists_allcorrect
32	sub01	Wir wollen heute spazieren gehen.	2.0	 Wir wollen heute spazieren gehen.	wordlists_allcorrect
33	sub01	Der Hund las heimlich die Zeitung.	1.0	 Der Hund las heimlich die Zeitung.	wordlists_allcorrect
34	sub01	Das Café ist Treffpunkt für Gespräche.	1.0	 Das Café ist Treffpunkt für Gespräche.	wordlists_allcorrect
35	sub01	Schnupfen stört uns natürlich sehr.	10.0	 Schnupfen stört uns nachher wirklich sehr.	wordlists_allcorrect
36	sub01	Zwei Mannschaften kämpfen um den Sieg.	0.0	 Zwei Mannschaften kämpfen um den Sieg.	wordlists_allcorrect
37	sub01	Für Volkskunst schwärmt nicht jede Altersstufe.	10.0	 Für Volkskunst schwärmt nicht jede Altersstufe.	wordlists_allcorrect
38	sub01	Geld allein macht nicht glücklich.	2.0	 Geld allein macht dich glücklich.	wordlists_allcorrect
39	sub01	Am blauen Himmel ziehen die Wolken	10.0	 Am blauen Himmel ziehen die Wolken.	wordlists_allcorrect
40	sub01	Im Meer tummeln sich faszinierende Lebensformen.	-1.0	 Ähm... Merkur? Weiß ich, hab ich nicht verstanden. Lebensform.	wordlists_allcorrect
41	sub01	Die Blumen blühen im Winter blau.	1.0	 Die Blumen blühen im Winter blau.	wordlists_allcorrect
42	sub01	Junge Erwachsene genießen das Stadtfest.	2.0	 Junge Erwachsene genießen das Stadtfest.	wordlists_allcorrect
43	sub01	In ihrem Blick lag eine tiefe Sehnsucht.	-2.0	 In ihrem Blick lag eine tiefe Sehnsucht.	wordlists_allcorrect
44	sub01	Auf dem Dach singt fröhlich ein Vogel.	-1.0	 Auf dem Dach singt fröhlich ein Vogel.	wordlists_allcorrect
45	sub01	Er wird ihr ewig treu bleiben.	-1.0	 Er wird ihr ewig treu bleiben.	wordlists_allcorrect
46	sub01	Zwölf Wanderer wollen den Gipfel erklimmen.	-2.0	 Zwölf Wanderer wollen den Gipfel erklimmen.	wordlists_allcorrect
47	sub01	Seine Worte schwebten wie Schmetterlinge.	10.0	 Seine Worte schwebten wie Schmetterlinge.	wordlists_allcorrect
48	sub01	Schnaps im Tee verfälscht das Aroma.	0.0	 Schnaps im Tee verfällt das Aroma.	wordlists_allcorrect
49	sub01	Der Nachbar sang unter der Dusche Oper.	2.0	 Der Nachbar sang unter der Dusche Opa.	wordlists_allcorrect
50	sub01	Die Kaffeetasse dampft auf dem Frühstückstisch.	0.0	 Die Kaffeetasse dampft auf dem Frühstückstisch.	wordlists_allcorrect
51	sub01	Der Kaffee duftet sehr verlockend.	1.0	 Der Kaffee duftet sehr verlockend.	wordlists_allcorrect
52	sub01	Sie isst kein salziges Gericht.	-2.0	 Das habe ich nicht verstanden.	wordlists_allcorrect
53	sub01	Die Straßenlaterne spendet warmes Licht.	1.0	 Die Straßenlaterne spendet warmes Licht.	wordlists_allcorrect
54	sub01	Draußen fliegt die Landschaft vorbei.	-1.0	 Außen fliegt die Landschaft vorbei.	wordlists_allcorrect
55	sub01	Sein Singen erfüllte den stillen Wald.	-1.0	 Sein Singen erfüllte den stillen Wald.	wordlists_allcorrect
56	sub01	Die Freunde teilen Geschichten am Lagerfeuer.	1.0	 Die Freunde teilen Geschichten am Lagerfeuer.	wordlists_allcorrect
57	sub01	Die Tante bewohnt ein nettes Häuschen	0.0	 Die Tante bewohnt ein nettes Häuschen.	wordlists_allcorrect
58	sub01	Durch den Regen leuchtet das Feuer.	-2.0	 Durch dem Regen leuchtet das Feuer.	wordlists_allcorrect
59	sub01	Fünf Filmtitel müssen wir aufschreiben.	-1.0	 Fünf Artikel müssen wir aufschreiben.	wordlists_allcorrect
60	sub01	Der Fluss plätschert sanft durch das Tal.	0.0	 Der Fluss plätschert sanft durch das Tal.	wordlists_allcorrect
61	sub01	Unsere beiden Hunde haben Durst.	2.0	 Unsere beiden Hunde haben Durst.	wordlists_allcorrect
62	sub01	Achtlos wirft der Knirps Matsch durchs Eckfenster.	-2.0	 Achtlos wirft der Knirps Matsch durch das Eckfenster.	wordlists_allcorrect
63	sub01	Öfen brauchen Kohlen und Briketts.	0.0	 Öfen brauchen Kohlen und Prü... Prüketz... Prüketz...	wordlists_allcorrect
64	sub01	Die Sonne scheint am blauen Himmel.	10.0	 Die Sonne scheint am blauen Himmel.	wordlists_allcorrect
65	sub01	Der Fernseher zeigt die Nachrichten.	10.0	 Der Fernseher zeigt die Nachrichten.	wordlists_allcorrect
66	sub01	Der Bus hupt vor der belebten Haltestelle.	-1.0	 Der Bus. Hier vor der Haltestelle.	wordlists_allcorrect
67	sub01	Ein Bauer arbeitet auf seinem Acker.	2.0	 Ein Bauer arbeitet auf seinem Acker.	wordlists_allcorrect
68	sub01	Das Telefon klingelt in der stillen Wohnung.	1.0	 Das Telefon klingelt in der stillen Wohnung.	wordlists_allcorrect
69	sub01	Nach dem Aufräumen fand ich mein Buch.	0.0	 Nach dem Aufräumen fand ich mein Buch.	wordlists_allcorrect
70	sub01	Diese Mannschaft schoss gleich drei Tore.	-1.0	 Diese Mannschaft schoss gleich drei Tore.	wordlists_allcorrect
71	sub01	Der Bahnhof liegt sieben Minuten entfernt.	0.0	 Der Bahnhof liegt sieben Minuten entfernt.	wordlists_allcorrect
72	sub01	Du bewirbst dich bei der gepflegten Wirtschaftsbank.	0.0	 Du bewirbst dich bei der gepflegten... Bank?	wordlists_allcorrect
73	sub01	Ein Stückchen weiter nördlich ist eine Umgehungsstraße.	-2.0	 Ein Stückchen weiter nördlich ist eine, habe ich nicht verstanden, Straße.	wordlists_allcorrect
74	sub01	Der Postbote liest Gedichte beim Zustellen.	-2.0	 Der Postbot liest Gedichte beim Zustellen.	wordlists_allcorrect
75	sub01	Mein Arzt empfahl dringend Bäder.	0.0	 Mein Arzt empfahl Bäder.	wordlists_allcorrect
76	sub01	Ein älteres Ehepaar tanzt auf der Hochzeitsfeier.	2.0	 Ein älteres Ehepaar tanzt auf der Hochzeitsfeier.	wordlists_allcorrect
77	sub01	Die Nachbarn feiern gemeinsam im Garten.	-2.0	 Die Nachbarn feiern gemeinsam im Garten.	wordlists_allcorrect
78	sub01	Prinzipiell müssen alle Hunde ein Halsband tragen.	1.0	 Prinzipiell müssen alle Hunde ein Halsband tragen.	wordlists_allcorrect
79	sub01	Der Regen klopft ans Fenster.	10.0	 Der Regen klopft ans Fenster.	wordlists_allcorrect
80	sub01	Flüsternd erzählt der Wind Geschichten.	-2.0	 Flüsternd erzählt der Wind Geschichten.	wordlists_allcorrect
81	sub01	Adler fliegen tausend Meter hoch.	2.0	 Adler fliegen tausend Meter hoch.	wordlists_allcorrect
82	sub01	Sein Blick streifte die Sterne.	2.0	 Sein Blick streifte die... ...Lampe.	wordlists_allcorrect
83	sub01	Frische Gardinen hängen am Fenster.	-1.0	 Frische Gardinen hängen am Fenster.	wordlists_allcorrect
84	sub01	Die Freunde treffen sich am See.	-1.0	 Die Freunde treffen sich am See.	wordlists_allcorrect
85	sub01	Das Baby lachte über die fliegenden Luftballons.	0.0	 Das Baby lachte über die fliegenden Luftballons.	wordlists_allcorrect
86	sub01	Die Lampe spendet angenehmes, helles Licht.	-1.0	 Die Lampe spendet angenehmes, helles Licht.	wordlists_allcorrect
87	sub01	Einige Busse fahren heute später.	10.0	 Einige Busse fahren heute später.	wordlists_allcorrect
88	sub01	Stehend macht man seine Aussage.	-2.0	 Stehend macht er seine Aussage.	wordlists_allcorrect
89	sub01	Die Entscheidung darfst du selbst fällen.	10.0	 Die Entscheidung darfst du selbst fällen.	wordlists_allcorrect
90	sub01	Die Freunde schauten verwirrt auf ihr Getränk.	1.0	 Die Freunde schauten verwirrt auf ihr Getränk.	wordlists_allcorrect
91	sub01	Heute jeder Strauß Blumen zwei Mark.	-2.0	 Hab ich nicht verstanden. Jeden Strauß Blumen zweimal.	wordlists_allcorrect
92	sub01	Auch der Elefant ist ein Geschöpf Gottes.	-1.0	 Auch der Elefant ist ein Geschöpf Gottes.	wordlists_allcorrect
93	sub01	Wir haben ein Abteil extra für uns.	0.0	 Wir haben einen Abteil extra für uns.	wordlists_allcorrect
94	sub01	Die Familie genießt gemeinsames Abendessen.	-2.0	 Die Familie genießt gemeinsames Abendessen.	wordlists_allcorrect
95	sub01	Im Geschäft stehen viele Leute	0.0	 Im Geschäft stehen viele Leute.	wordlists_allcorrect
96	sub01	Der alte Baum erzählte vom Leben.	1.0	 Der alte Baum erzählte vom Leben.	wordlists_allcorrect
97	sub01	Morgen umarmt der Nebel die Berge.	2.0	 Morgens umarmt der Nebel die Berge.	wordlists_allcorrect
98	sub01	Vater mischt gleich die Karten.	2.0	 Hab ich nicht verstanden, mischt gleich die Karten.	wordlists_allcorrect
99	sub01	Messer und Gabel liegen neben dem Teller.	-1.0	 Messer und Gabel liegen neben dem Teller.	wordlists_allcorrect
100	sub01	Studenten treffen sich in der Bibliothek.	2.0	 Studenten treffen sich in der Bibliothek.	wordlists_allcorrect
101	sub01	Diese zarten Blumen welken rasch.	-1.0	 Diese zarten Blumen welken rasch.	wordlists_allcorrect
102	sub01	Ein Schiff gleitet über das Wasser.	-2.0	 Ein Schiff gleitet über das Wasser.	wordlists_allcorrect
103	sub01	Das Buch liegt auf dem gemütlichen Sofa.	-1.0	 Das Buch liegt auf dem gemütlichen Sofa.	wordlists_allcorrect
104	sub01	Nach der harten Arbeit brauche ich Zerstreuung.	-1.0	 Nach der harten Arbeit brauche ich Zerstreuung.	wordlists_allcorrect
105	sub01	Die weiße Leinwand wird vom Maler beschriftet.	-1.0	 Die weiße Leimwand wird von Malern beschriftet.	wordlists_allcorrect
106	sub01	Er gewinnt sechs Spiele nacheinander.	10.0	 Er gewinnt sechs Spiele nacheinander.	wordlists_allcorrect
107	sub01	Sie trägt ein Lächeln im Gesicht.	0.0	 Sie trägt ein Lächeln im Gesicht.	wordlists_allcorrect
108	sub01	Unruhig tanzen Blätter im Sonnenschein.	-2.0	 Unwohl tanzen Blätter im Sonnenschein.	wordlists_allcorrect
109	sub01	Schulkinder müssen Rechnen und Schreiben lernen.	2.0	 Schulkinder müssen rechnen und schreiben lernen.	wordlists_allcorrect
110	sub01	Der Apfelbaum trägt viele reife Äpfel.	1.0	 Der Apfelbaum trägt viele reife Äpfel.	wordlists_allcorrect
111	sub01	Auf dem Brett leuchten bunte Tulpen.	10.0	 Auf dem Brett leuchten viele bunte Tulpen.	wordlists_allcorrect
112	sub01	Der Regen prasselt auf das Dachfenster.	1.0	 Der Regen prasselt auf das Dachfenster.	wordlists_allcorrect
113	sub01	Beim Studienkurs musst Du ernsthaft lernen.	10.0	 Beim Studienkurs musst du ernsthaft lernen.	wordlists_allcorrect
114	sub01	Der Zug rattert laut durch die Nacht.	-1.0	 Der Zug rattert laut durch die Nacht.	wordlists_allcorrect
115	sub01	Einstweilen ist Erfolg die Hauptsache.	1.0	 Einst weilen erfolgt die Hauptsache.	wordlists_allcorrect
116	sub01	Die Blumen blühen im sonnigen Garten.	-2.0	 Die Blumen blühen im sonnigen Garten.	wordlists_allcorrect
117	sub01	Der Pflug zieht tiefe Furchen.	2.0	 Der Flug zieht tiefe Furchen.	wordlists_allcorrect
118	sub01	Der Kellner jongliert mit den Speisekarten.	10.0	 Der Kellner jongliert mit den Speisekarten.	wordlists_allcorrect
119	sub01	Nach diesen Sturmböen herrscht ein furchtbares Chaos.	1.0	 Nach diesen Sturmböen herrscht ein furchtbares Chaos.	wordlists_allcorrect
120	sub01	Danach tut eine Wanderung gut.	10.0	 Danach tut eine Wanderung gut.	wordlists_allcorrect
121	sub01	Gleich hier sind die Nahrungsmittel	1.0	 hab ich nicht ganz verstanden, sind die Nahrungsmittel.	wordlists_allcorrect
122	sub01	Die Katze schläft auf dem Sofa	2.0	 Die Katze schläft auf dem Sofa.	wordlists_allcorrect
123	sub01	Der Raureif zaubert Diamanten auf Blätter.	-2.0	 Der Taureif zaubert Diamanten auf die Blätter.	wordlists_allcorrect
124	sub01	Durch Wald und Feld führt unser Weg.	2.0	 Durch Wald und Feld führt unser Weg.	wordlists_allcorrect
125	sub01	Hier richten Zimmerleute ein Dach.	-1.0	 Hier richten Zimmerleute ein Dach.	wordlists_allcorrect
126	sub01	Schlaf vor Mitternacht ist gesund.	2.0	 Schlaf um Mitternacht ist gesund.	wordlists_allcorrect
127	sub01	Am Samstag öffnet der Kiosk erstmals.	-1.0	 Am Samstag öffnet der Kiosk erstmals.	wordlists_allcorrect
128	sub01	Bei dem Peitschenknall scheuten die Rösser.	2.0	 Bei dem Peitschenknall scheuten die Rösser.	wordlists_allcorrect
129	sub01	Verkehrsampeln leuchten grün, gelb, rot.	1.0	 Verkehrsampeln leuchten grün, gelb, rot.	wordlists_allcorrect
130	sub01	Der Frosch sprang rein ins Täschchen.	0.0	 Der Frosch sprang rein ins Täschchen oder Bächchen.	wordlists_allcorrect
131	sub01	Alle eilen gleich links ins Freie.	0.0	 Alle eilen gleich links ins Freie.	wordlists_allcorrect
132	sub01	Ein Lächeln erhellt das Gesicht.	-2.0	 Ein Lächeln erhellt das Gesicht.	wordlists_allcorrect
133	sub01	Im Alltag herrscht eine gnadenlose Hektik.	10.0	 Im Alltag herrscht eine gnadenlose Hektik.	wordlists_allcorrect
134	sub01	Der Regenschirm schützt vor plötzlichem Regen.	1.0	 Der Regenschirm schützt vor plötzlichem Regen.	wordlists_allcorrect
135	sub01	Sie hat die Neuigkeit mit Genugtuung aufgenommen.	2.0	 Sie hat die Neuigkeit mit ihrem Telefon aufgenommen.	wordlists_allcorrect
136	sub01	Der Regen tropft vom Dach.	-1.0	 Der Regen tropft vom Dach.	wordlists_allcorrect
137	sub01	Die Bremse quietscht beim linkslastigen Bremsen.	10.0	 Die Bremse quietscht beim linkslastigen Bremsen.	wordlists_allcorrect
138	sub01	Der Nachbar trägt immer Hüte.	2.0	 Der Nachbar trägt immer Hüte.	wordlists_allcorrect
139	sub01	Seine Frau macht ein trauriges Gesicht.	10.0	 Seine Frau macht ein trauriges Gesicht.	wordlists_allcorrect
140	sub01	Bei Konkurs kennt der Richter keine Gnade.	1.0	 Dabei, hab ich nicht verstanden, kennt der Richter keine Gnade.	wordlists_allcorrect
141	sub01	Wild pfeift der Wind durch die Wände.	1.0	 Habe ich nicht verstanden, pfeift der Wind durch die Wände.	wordlists_allcorrect
142	sub01	Vor dem Haus blühen bunte Blumenbeete.	0.0	 Vor dem Haus blühen bunte Blumenwiesen.	wordlists_allcorrect
143	sub01	Ein leiser Windhauch streift die Wiesen.	-2.0	 Ein leichter Windhauch streift die Wiesen.	wordlists_allcorrect
144	sub01	Die Ärzte sind damit gar nicht einverstanden.	0.0	 Die Ärzte sind damit gar nicht einverstanden.	wordlists_allcorrect
145	sub01	Der Hund bellt vor dem Haus.	-2.0	 Der Hund bellt vor dem Haus.	wordlists_allcorrect
146	sub01	Die Tür knarrt laut beim Öffnen.	0.0	 Die Tür knarrt laut beim Öffnen.	wordlists_allcorrect
147	sub01	Löst doch die Fahrkarten am Schalter!	-1.0	 löst doch die Fahrkarten am Schalter.	wordlists_allcorrect
148	sub01	Jeden Freitag gibt's frischen Fisch.	2.0	 Jeden Freitag gibt's frischen Fisch.	wordlists_allcorrect
149	sub01	Ängstlich begreifst du Omas Lage.	-2.0	 Ängstlich begreifst du Omas Lage.	wordlists_allcorrect
150	sub01	Ihr Lachen hallte durch den leeren Park.	1.0	 Ihr Lachen heilte durch den leeren Park.	wordlists_allcorrect
151	sub01	Durch die Straßen zieht eine kalte Brise.	0.0	 Durch die Straßen zieht eine kalte Brise.	wordlists_allcorrect
152	sub01	Wenn der Schnee schmilzt, kommt der Frühling.	0.0	 Wenn der Schnee schmilzt, kommt der Frühling.	wordlists_allcorrect
153	sub01	Manche Menschen vertragen keine Erdbeeren.	2.0	 Manche Menschen vertragen keine Erdbeeren.	wordlists_allcorrect
154	sub01	Montag war es uns zu regnerisch.	1.0	 Montag war es uns zu regnerisch.	wordlists_allcorrect
155	sub01	Eine Gruppe Freunde lacht in der Bar.	1.0	 Eine Gruppe Freunde lacht in der Bar.	wordlists_allcorrect
156	sub01	Die Musiker unterhalten Passanten mit ihrer Musik.	10.0	 Die Musiker unterhalten Passanten mit ihrer Musik.	wordlists_allcorrect
157	sub01	Der Kühlschrank summt seltsame Melodien.	-1.0	 Der Kühlschrank summt seltsame Melodien.	wordlists_allcorrect
158	sub01	Das amtliche Amtsblatt liegt überm Durchschnitt.	-2.0	 Das amtliche Amtsblatt liegt über dem Durchschnitt.	wordlists_allcorrect
159	sub01	Nervöse Menschen brauchen viel Ruhe.	-1.0	 Nervöse Menschen brauchen viel Ruhe.	wordlists_allcorrect
160	sub01	Motoren brauchen Benzin, Öl und Wasser.	1.0	 Öl und Wasser.	wordlists_allcorrect
161	sub01	Nicht alle Menschen verkraften den Linksverkehr sofort.	1.0	 Nicht alle Menschen verkraften den Linksverkehr sofort.	wordlists_allcorrect
162	sub01	Nicht jeder verträgt kaltes Bier.	1.0	 Nicht jeder verträgt kaltes Bier.	wordlists_allcorrect
163	sub01	Der Termin des Treffpunkts wird noch abgesprochen	-2.0	 Der Termin des Treffpunktes wird noch abgesprochen.	wordlists_allcorrect
164	sub01	Der Polizist spielt Gitarre für die Nachbarschaft.	2.0	 Der Polizist spielt Gitarre für die Nachbarschaft.	wordlists_allcorrect
165	sub01	Die Sterne funkeln am Nachthimmel.	10.0	 Die Sterne funkeln am Nachthimmel.	wordlists_allcorrect
166	sub01	Die Radfahrer erkunden den Wald.	-2.0	 Die Radfahrer erkunden den Wald.	wordlists_allcorrect
167	sub01	Ein primitiver Mensch wird keine Scheu kennen.	10.0	 Ein primitiver Mensch wird keine Scheu kennen.	wordlists_allcorrect
168	sub01	Der Kaffee dampft in den Tassen.	10.0	 Der Kaffee dampft in den Tassen.	wordlists_allcorrect
169	sub01	Nach einer Umfrage kennt niemand dieses Fremdwort.	10.0	 Nach einer Umfrage kennt niemand dieses Fremdwort.	wordlists_allcorrect
170	sub01	Leise rollen wir aus dem Bahnhof.	1.0	 Leise rollen wir aus dem Bahnhof.	wordlists_allcorrect
171	sub01	Unser Doktor besucht Vater täglich.	1.0	 Unser Doktor besucht Vater täglich.	wordlists_allcorrect
172	sub01	Die Verkäuferin hat einen ungewöhnlichen Akzent.	10.0	 Die Verkäuferin hat einen ungewöhnlichen Akzent.	wordlists_allcorrect
173	sub01	Der Fernseher spielt eigenwillige Liebesfilme.	-2.0	 Der Fernseher spielt eigenwillige Liebesfilme.	wordlists_allcorrect
174	sub01	Die Musik erklingt sanft im Raum.	0.0	 Die Musik erklingt sanft im Raum.	wordlists_allcorrect
175	sub01	Die Vögel umkreisten den Turm.	-1.0	 Vögel kreisten den Turm.	wordlists_allcorrect
176	sub01	Böse Menschen verdienen ihre Strafe.	1.0	 Böse Menschen verdienen ihre Strafe.	wordlists_allcorrect
177	sub01	Durch den ständigen Föhn verdorren die Ähren.	10.0	 Durch den ständigen Föhn habe ich nicht verstanden die Ehren.	wordlists_allcorrect
178	sub01	Der Regenbogen endete im Blumentopf.	1.0	 Der Regenbogen endete im Blumentopf.	wordlists_allcorrect
179	sub01	Der Regen spielt Klavier auf den Dächern.	0.0	 Der Regen spielt Klavier auf den Dächern.	wordlists_allcorrect
180	sub01	Die Straßen sind voller fröhlicher Passanten.	0.0	 Die Straßen sind voller fröhlicher Passanten.	wordlists_allcorrect
181	sub01	Der Kamin verbreitet wohlige Wärme.	1.0	 Der Kamin verbreitet Wohlleben.	wordlists_allcorrect
182	sub01	Vor dem Fenster summt eine kleine Biene.	1.0	 Vor dem Fenster summt eine kleine	wordlists_allcorrect
183	sub01	Das Fahrrad rollt leise über Kopfsteinpflaster.	0.0	 Das Fahrrad rollt leise über Kopfsteinpflaster.	wordlists_allcorrect
184	sub01	In den Bergen kann man Ski laufen.	2.0	 In den Bergen kann man Ski laufen.	wordlists_allcorrect
185	sub01	Autos fahren auf der Straße.	-1.0	 Autos fahren auf der Straße.	wordlists_allcorrect
186	sub01	Opa jammert ständig über seine Asthmaanfälle.	-1.0	 Opa jammert ständig über seine Asthma-Anfälle.	wordlists_allcorrect
187	sub01	Die Katze schnurrt zufrieden auf dem Sofa.	1.0	 Die Katze schnurrt zufrieden auf dem Sofa.	wordlists_allcorrect
188	sub01	Die Wolken malen Geschichten am Himmel.	-2.0	 Die Wolken malen, hab ich nicht verstanden, am Himmel.	wordlists_allcorrect
189	sub01	Die Vögel zwitschern am Morgen.	0.0	 Die Vögel zwitschern am Morgen.	wordlists_allcorrect
190	sub01	Die Blumen blühen im Garten.	10.0	 Die Blumen blühen im Garten.	wordlists_allcorrect
191	sub01	Die Waschmaschine summt sanft im Hintergrund.	-2.0	 Die Waschmaschine summt sanft im Hintergrund.	wordlists_allcorrect
192	sub01	Die Krankenschwester jongliert mit Medikamenten.	-1.0	 Die Krankenschwester jongliert mit Medikamenten.	wordlists_allcorrect
193	sub01	Das Licht tanzte über dem Fluss.	2.0	 Das Licht tanzte über den Fluss.	wordlists_allcorrect
194	sub01	Vater will sich eine Pfeife anzünden	10.0	 Vater will sich eine Pfeife anzünden.	wordlists_allcorrect
195	sub01	Ein ruhiger Bach plätschert durch den Wald.	10.0	 Ein ruhiger Bach plätschert durch den Wald.	wordlists_allcorrect
196	sub01	Der Arzt untersucht den Patienten.	0.0	 Der Arzt untersucht den Patienten.	wordlists_allcorrect
197	sub01	Er hat eine sprunghafte Gangart.	1.0	 Er hat eine Schuhe auf, die zu gerne braucht.	wordlists_allcorrect
198	sub01	Mein Chef hat eine seltsame Frisur.	2.0	 Mein Chef hat eine seltsame Frisur.	wordlists_allcorrect
199	sub01	Die Sonne strahlt am wolkenlosen Himmel.	-1.0	 Die Sonne strahlt am wolkenlosen Himmel.	wordlists_allcorrect
200	sub01	Fünf Freunde wollen die Welt bereisen.	0.0	 Fünf Freunde wollen die Welt bereisen.	wordlists_allcorrect
201	sub01	Die Hochzeit versammelt Familie und Freunde.	-2.0	 Die Hochzeit versammelt Freunde und Familie.	wordlists_allcorrect
202	sub01	Diese Durchsage ist ohne Gewähr.	1.0	 Diese Durchsage ist ohne Gewehr.	wordlists_allcorrect
203	sub01	Das Echo trägt Gedichte fort.	0.0	 Das Echo trägt Gedichte vor.	wordlists_allcorrect
204	sub01	Am Himmel fliegt ein Schwarm Zugvögel vorbei.	-2.0	 Am Himmel fliegt ein Schwarm Zugvögel vorbei.	wordlists_allcorrect
205	sub01	Es gehört zu einer Feldscheune	10.0	 Es gehört zu einer Feldscheune.	wordlists_allcorrect
206	sub01	Ein freundliches Lächeln erhellt den Tag.	2.0	 Ein freundliches Lächeln erhellt den Tag.	wordlists_allcorrect
207	sub01	Kollegen feiern den Abschluss eines erfolgreichen Projekts.	-1.0	 Habe ich nicht verstanden, feiern... Habe ich nicht verstanden, eines erfolgreichen Projekts.	wordlists_allcorrect
208	sub01	Sein Blick fiel auf den Boden.	10.0	 Sein Blick fiel auf den Boden.	wordlists_allcorrect
209	sub01	Die Treppe führt ins kuschelige Schlafzimmer.	0.0	 Die Treppe führt ins kuschelige Schlafzimmer.	wordlists_allcorrect
210	sub01	Das kalte Licht leuchtet am Morgen.	-2.0	 Das kalte Licht leuchtet am Morgen.	wordlists_allcorrect
211	sub01	Die Uhr tickt ruhig an der Wand.	2.0	 Untertitel der Amara.org-Community	wordlists_allcorrect
212	sub01	Der Besitz des Kiosks ist rechtlich verpfändet.	-1.0	 Der Besitz des Tieres ist rechtlich verpfändet.	wordlists_allcorrect
213	sub01	Sie hört Musik mit geschlossenen Augen.	10.0	 Sie hört Musik mit geschlossenen Augen.	wordlists_allcorrect
